Author_Name
"Kehl, M. S."
"Keitel, D."
"Kelley, D. B."
"Kells, W."
"Kennedy, R."
"Keppel, D. G."
"Key, J. S."
"Khalaidovski, A."
"Khalili, F. Y."
"Khan, I."
"Khan, S."
"Khan, Z."
"Khazanov, E. A."
"Kijbunchoo, N."
"Kim, C."
"Kim, J."
"Kim, K."
"Kim, Nam-Gyu"
"Kim, Namjun"
"Kim, Y. -M."
"King, E. J."
"King, P. J."
"Kinzel, D. L."
"Kissel, J. S."
"Kleybolte, L."
"Klimenko, S."
"Koehlenbeck, S. M."
"Kokeyama, K."
"Koley, S."
"Kondrashov, V."
"Kontos, A."
"Koranda, S."
"Korobko, M."
"Korth, W. Z."
"Kowalska, I."
"Kozak, D. B."
"Kringel, V."
"Krishnan, B."
"Królak, A."
"Krueger, C."
"Kuehn, G."
"Kumar, P."
"Kumar, R."
"Kuo, L."
"Kutynia, A."
"Kwee, P."
"Lackey, B. D."
"Landry, M."
"Lange, J."
"Lantz, B."
"Lasky, P. D."
"Lazzarini, A."
"Lazzaro, C."
"Leaci, P."
"Leavey, S."
"Lebigot, E. O."
"Lee, C. H."
"Lee, H. K."
"Lee, H. M."
"Lee, K."
"Lenon, A."
"Leonardi, M."
"Leong, J. R."
"Leroy, N."
"Letendre, N."
"Levin, Y."
"Levine, B. M."
"Li, T. G. F."
"Libson, A."
"Littenberg, T. B."
"Lockerbie, N. A."
"Logue, J."
"Lombardi, A. L."
"London, L. T."
"Lord, J. E."
"Lorenzini, M."
"Loriette, V."
"Lormand, M."
"Losurdo, G."
"Lough, J. D."
"Lousto, C. O."
"Lovelace, G."
"Lück, H."
"Lundgren, A. P."
"Luo, J."
"Lynch, R."
"Ma, Y."
"MacDonald, T."
"Machenschalk, B."
"MacInnis, M."
"Macleod, D. M."
"Magaña-Sandoval, F."
"Magee, R. M."
"Mageswaran, M."
"Majorana, E."
"Maksimovic, I."
"Malvezzi, V."
"Man, N."
"Mandel, I."
"Mandic, V."
"Mangano, V."
"Mansell, G. L."
"Manske, M."
"Mantovani, M."
"Marchesoni, F."
"Marion, F."
"Márka, S."
"Márka, Z."
"Markosyan, A. S."
"Maros, E."
"Martelli, F."
"Martellini, L."
"Martin, I. W."
"Martin, R. M."
"Martynov, D. V."
"Marx, J. N."
"Mason, K."
"Masserot, A."
"Massinger, T. J."
"Masso-Reid, M."
"Matichard, F."
"Matone, L."
"Mavalvala, N."
"Mazumder, N."
"Mazzolo, G."
"McCarthy, R."
"McClelland, D. E."
"McCormick, S."
"McGuire, S. C."
"McIntyre, G."
"McIver, J."
"McManus, D. J."
"McWilliams, S. T."
"Meacher, D."
"Meadors, G. D."
"Meidam, J."
"Melatos, A."
"Mendell, G."
"Mendoza-Gandara, D."
"Mercer, R. A."
"Merilh, E."
"Merzougui, M."
"Meshkov, S."
"Messenger, C."
"Messick, C."
"Meyers, P. M."
"Mezzani, F."
"Miao, H."
"Michel, C."
"Middleton, H."
"Mikhailov, E. E."
"Milano, L."
"Miller, J."
"Millhouse, M."
"Minenkov, Y."
"Ming, J."
"Mirshekari, S."
"Mishra, C."
"Mitra, S."
"Mitrofanov, V. P."
"Mitselmakher, G."
"Mittleman, R."
"Moggi, A."
"Mohan, M."
"Mohapatra, S. R. P."
"Montani, M."
"Moore, B. C."
"Moore, C. J."
"Moraru, D."
"Moreno, G."
"Morriss, S. R."
"Mossavi, K."
"Mours, B."
"Mow-Lowry, C. M."
"Mueller, C. L."
"Mueller, G."
"Muir, A. W."
"Mukherjee, Arunava"
"Mukherjee, D."
"Mukherjee, S."
"Mukund, N."
"Mullavey, A."
"Munch, J."
"Murphy, D. J."
"Murray, P. G."
"Mytidis, A."
"Nardecchia, I."
"Naticchioni, L."
"Nayak, R. K."
"Necula, V."
"Nedkova, K."
"Nelemans, G."
"Neri, M."
"Neunzert, A."
"Newton, G."
"Nguyen, T. T."
"Nielsen, A. B."
"Nissanke, S."
"Nitz, A."
"Nocera, F."
"Nolting, D."
"Normandin, M. E. N."
"Nuttall, L. K."
"Oberling, J."
"Ochsner, E."
"O'Dell, J."
"Oelker, E."
"Ogin, G. H."
"Oh, J. J."
"Oh, S. H."
"Ohme, F."
"Oliver, M."
"Oppermann, P."
"Oram, Richard J."
"O'Reilly, B."
"O'Shaughnessy, R."
"Ott, C. D."
"Ottaway, D. J."
"Ottens, R. S."
"Overmier, H."
"Owen, B. J."
"Pai, A."
"Pai, S. A."
"Palamos, J. R."
"Palashov, O."
"Palomba, C."
"Pal-Singh, A."
"Pan, H."
"Pan, Y."
"Pankow, C."
"Pannarale, F."
"Pant, B. C."
"Paoletti, F."
"Paoli, A."
"Papa, M. A."
"Paris, H. R."
"Parker, W."
"Pascucci, D."
"Pasqualetti, A."
"Passaquieti, R."
"Passuello, D."
"Patricelli, B."
"Patrick, Z."
"Pearlstone, B. L."
"Pedraza, M."
"Pedurand, R."
"Pekowsky, L."
"Pele, A."
"Penn, S."
"Perreca, A."
"Pfeiffer, H. P."
"Phelps, M."
"Piccinni, O."
"Pichot, M."
"Pickenpack, M."
"Piergiovanni, F."
"Pierro, V."
"Pillant, G."
"Pinard, L."
"Pinto, I. M."
"Pitkin, M."
"Poeld, J. H."
"Poggiani, R."
"Popolizio, P."
"Post, A."
"Powell, J."
"Prasad, J."
"Predoi, V."
"Premachandra, S. S."
"Prestegard, T."
"Price, L. R."
"Prijatelj, M."
"Principe, M."
"Privitera, S."
"Prix, R."
"Prodi, G. A."
"Prokhorov, L."
"Puncken, O."
"Punturo, M."
"Puppo, P."
"Pürrer, M."
"Qi, H."
"Qin, J."
"Quetschke, V."
"Quintero, E. A."
"Quitzow-James, R."
"Raab, F. J."
"Rabeling, D. S."
"Radkins, H."
"Raffai, P."
"Raja, S."
"Rakhmanov, M."
"Ramet, C. R."
"Rapagnani, P."
"Raymond, V."
"Razzano, M."
"Re, V."
"Read, J."
"Reed, C. M."
"Regimbau, T."
"Rei, L."
"Reid, S."
"Reitze, D. H."
"Rew, H."
"Reyes, S. D."
"Ricci, F."
"Riles, K."
"Robertson, N. A."
"Robie, R."
"Robinet, F."
"Rocchi, A."
"Rolland, L."
"Rollins, J. G."
"Roma, V. J."
"Romano, J. D."
"Romano, R."
"Romanov, G."
"Romie, J. H."
"Rosi?ska, D."
"Rowan, S."
"Rüdiger, A."
"Ruggi, P."
"Ryan, K."
"Sachdev, S."
"Sadecki, T."
"Sadeghian, L."
"Salconi, L."
"Saleem, M."
"Salemi, F."
"Samajdar, A."
"Sammut, L."
"Sampson, L. M."
"Sanchez, E. J."
"Sandberg, V."
"Sandeen, B."
"Sanders, G. H."
"Sanders, J. R."
"Sassolas, B."
"Sathyaprakash, B. S."
"Saulson, P. R."
"Sauter, O."
"Savage, R. L."
"Sawadsky, A."
"Schale, P."
"Schilling, R."
"Schmidt, J."
"Schmidt, P."
"Schnabel, R."
"Schofield, R. M. S."
"Schönbeck, A."
"Schreiber, E."
"Schuette, D."
"Schutz, B. F."
"Scott, J."
"Scott, S. M."
"Sellers, D."
"Sengupta, A. S."
"Sentenac, D."
"Sequino, V."
"Sergeev, A."
"Serna, G."
"Setyawati, Y."
"Sevigny, A."
"Shaddock, D. A."
"Shaffer, T."
"Shah, S."
"Shahriar, M. S."
"Shaltev, M."
"Shao, Z."
"Shapiro, B."
"Shawhan, P."
"Sheperd, A."
"Shoemaker, D. H."
"Shoemaker, D. M."
"Siellez, K."
"Siemens, X."
"Sigg, D."
"Silva, A. D."
"Simakov, D."
"Singer, A."
"Singer, L. P."
"Singh, A."
"Singh, R."
"Singhal, A."
"Sintes, A. M."
"Slagmolen, B. J. J."
"Smith, J. R."
"Smith, M. R."
"Smith, N. D."
"Smith, R. J. E."
"Son, E. J."
"Sorazu, B."
"Sorrentino, F."
"Souradeep, T."
"Srivastava, A. K."
"Staley, A."
"Steinke, M."
"Steinlechner, J."
"Steinlechner, S."
"Steinmeyer, D."
"Stephens, B. C."
"Stevenson, S. P."
"Stone, R."
"Strain, K. A."
"Straniero, N."
"Stratta, G."
"Strauss, N. A."
"Strigin, S."
"Sturani, R."
"Stuver, A. L."
"Summerscales, T. Z."
"Sun, L."
"Sutton, P. J."
"Swinkels, B. L."
"Szczepa?czyk, M. J."
"Tacca, M."
"Talukder, D."
"Tanner, D. B."
"Tápai, M."
"Tarabrin, S. P."
"Taracchini, A."
"Taylor, R."
"Theeg, T."
"Thirugnanasambandam, M. P."
"Thomas, E. G."
"Thomas, M."
"Thomas, P."
"Thorne, K. A."
"Thorne, K. S."
"Thrane, E."
"Tiwari, S."
"Tiwari, V."
"Tokmakov, K. V."
"Tomlinson, C."
"Tonelli, M."
"Torres, C. V."
"Torrie, C. I."
"Töyrä, D."
"Travasso, F."
"Traylor, G."
"Trifirò, D."
"Tringali, M. C."
"Trozzo, L."
"Tse, M."
"Turconi, M."
"Tuyenbayev, D."
"Ugolini, D."
"Unnikrishnan, C. S."
"Urban, A. L."
"Usman, S. A."
"Vahlbruch, H."
"Vajente, G."
"Valdes, G."
"Vallisneri, M."
"van Bakel, N."
"van Beuzekom, M."
"van den Brand, J. F. J."
"Van Den Broeck, C."
"Vander-Hyde, D. C."
"van der Schaaf, L."
"van Heijningen, J. V."
"van Veggel, A. A."
"Vardaro, M."
"Vass, S."
"Vasúth, M."
"Vaulin, R."
"Vecchio, A."
"Vedovato, G."
"Veitch, J."
"Veitch, P. J."
"Venkateswara, K."
"Verkindt, D."
"Vetrano, F."
"Viceré, A."
"Vinciguerra, S."
"Vine, D. J."
"Vinet, J. -Y."
"Vitale, S."
"Vo, T."
"Vocca, H."
"Vorvick, C."
"Voss, D."
"Vousden, W. D."
"Vyatchanin, S. P."
"Wade, A. R."
"Wade, L. E."
"Wade, M."
"Waldman, S. J."
"Walker, M."
"Wallace, L."
"Walsh, S."
"Wang, G."
"Wang, H."
"Wang, M."
"Wang, X."
"Wang, Y."
"Ward, H."
"Ward, R. L."
"Warner, J."
"Was, M."
"Weaver, B."
"Wei, L. -W."
"Weinert, M."
"Weinstein, A. J."
"Weiss, R."
"Welborn, T."
"Wen, L."
"Weßels, P."
"Westphal, T."
"Wette, K."
"Whelan, J. T."
"Whitcomb, S. E."
"White, D. J."
"Whiting, B. F."
"Wiesner, K."
"Wilkinson, C."
"Willems, P. A."
"Williams, L."
"Williams, R. D."
"Williamson, A. R."
"Willis, J. L."
"Willke, B."
"Wimmer, M. H."
"Winkelmann, L."
"Winkler, W."
"Wipf, C. C."
"Wiseman, A. G."
"Wittel, H."
"Woan, G."
"Worden, J."
"Wright, J. L."
"Wu, G."
"Yablon, J."
"Yakushin, I."
"Yam, W."
"Yamamoto, H."
"Yancey, C. C."
"Yap, M. J."
"Yu, H."
"Yvert, M."
"Zadro?ny, A."
"Zangrando, L."
"Zanolin, M."
"Zendri, J. -P."
"Zevin, M."
"Zhang, F."
"Zhang, L."
"Zhang, M."
"Zhang, Y."
"Zhao, C."
"Zhou, M."
"Zhou, Z."
"Zhu, X. J."
"Zucker, M. E."
"Zuraw, S. E."
"Zweizig, J."
LIGO Scientific Collaboration
Virgo Collaboration
"Springel, Volker"
"Kroupa, Pavel"
"Kurucz, R. L."
"Abazajian, Kevork N."
"Adelman-McCarthy, Jennifer K."
"Agüeros, Marcel A."
"Allam, Sahar S."
"Allende Prieto, Carlos"
"An, Deokkeun"
"Anderson, Kurt S. J."
"Anderson, Scott F."
"Annis, James"
"Bahcall, Neta A."
"Bailer-Jones, C. A. L."
"Barentine, J. C."
"Bassett, Bruce A."
"Becker, Andrew C."
"Beers, Timothy C."
"Bell, Eric F."
"Belokurov, Vasily"
"Berlind, Andreas A."
"Berman, Eileen F."
"Bernardi, Mariangela"
"Bickerton, Steven J."
"Bizyaev, Dmitry"
"Blakeslee, John P."
"Blanton, Michael R."
"Bochanski, John J."
"Boroski, William N."
"Brewington, Howard J."
"Brinchmann, Jarle"
"Brinkmann, J."
"Brunner, Robert J."
"Budavári, Tamás"
"Carey, Larry N."
"Carliles, Samuel"
"Carr, Michael A."
"Castander, Francisco J."
"Cinabro, David"
"Connolly, A. J."
"Csabai, István"
"Cunha, Carlos E."
"Czarapata, Paul C."
"Davenport, James R. A."
"de Haas, Ernst"
"Dilday, Ben"
"Doi, Mamoru"
"Eisenstein, Daniel J."
"Evans, Michael L."
"Evans, N. W."
"Fan, Xiaohui"
"Friedman, Scott D."
"Frieman, Joshua A."
"Fukugita, Masataka"
"Gänsicke, Boris T."
"Gates, Evalyn"
"Gillespie, Bruce"
"Gilmore, G."
"Gonzalez, Belinda"
"Gonzalez, Carlos F."
"Grebel, Eva K."
"Gunn, James E."
"Györy, Zsuzsanna"
"Hall, Patrick B."
"Harding, Paul"
"Harris, Frederick H."
"Harvanek, Michael"
"Hawley, Suzanne L."
"Hayes, Jeffrey J. E."
"Heckman, Timothy M."
"Hendry, John S."
"Hennessy, Gregory S."
"Hindsley, Robert B."
"Hoblitt, J."
